频率(Hz),到达时间(s),脉冲宽度(s),到达角度,幅度
6029834327.6275,0.1248108,3.06912511149883e-06,88.3177117845306,0.286056011962654
6028243851.27143,0.1250888,2.92863557311804e-06,88.5701543285598,0.267813968933897
6029924488.06178,0.1252108,3.03419953425671e-06,88.373728594334,0.304117375883102
6028250381.45616,0.1254888,2.9239953067584e-06,88.540323798744,0.286056011962654
6028271116.16742,0.1258888,2.95818554387984e-06,88.5282457116583,0.304117375883102
6029805055.5912,0.1298108,2.99103774811479e-06,88.3234538257332,0.495261305551219
6929835677.09892,0.1306108,2.92798072212543e-06,88.3704252270528,0.524710051662923
6929789534.39208,0.1308108,2.91746282329996e-06,88.3972584830302,0.531867968280835
6929952991.82524,0.1312108,2.90665397388648e-06,88.3736553278498,0.545930720107945
6928259639.47509,0.1312888,2.92833004519574e-06,88.5657885918428,0.524710051662923
6928199386.11864,0.1314888,3.07477056290354e-06,88.5619167931922,0.531867968280835
6729959535.04742,0.1316108,3.00300289510776e-06,88.3164058774581,0.559648650391083
6928233529.38771,0.1318888,3.05499299644945e-06,88.5338321407238,0.545930720107945
6728330229.0756,0.1322888,3.05650737076275e-06,88.5068941713639,0.559648650391083
6729819573.97861,0.1323108,3.0262639963944e-06,88.3384363709506,0.582799366003216
6728267703.48224,0.1329888,3.09091125153326e-06,88.5675484092974,0.582799366003216
6729938729.79257,0.1330108,3.0872176612872e-06,88.3554241407505,0.604822871502404
6529891922.88921,0.1333108,3.02287424686603e-06,88.3226164398684,0.613905817242808
6529888671.25692,0.1336108,2.93593914299166e-06,88.3667410890168,0.622770645169531
6728213981.28423,0.1336888,2.96104970587615e-06,88.5088613268511,0.604822871502404
6529853940.20299,0.1338108,2.94188226801963e-06,88.3262116232466,0.628557795294347
6528318828.7527,0.1339888,3.0764998659773e-06,88.5244398205033,0.613905817242808
6929844927.15824,0.1355108,3.03185577474281e-06,88.3670902033105,0.673653046095428
6928298824.47864,0.1361888,3.03613514858414e-06,88.542426426718,0.673653046095428
6929873978.27297,0.1362108,2.90598283092757e-06,88.3465697448763,0.690016187327137
6929806414.44996,0.1365108,3.0967019925357e-06,88.3821111482998,0.696622171457156
6729890225.76509,0.1368108,3.08153781178651e-06,88.3490608756426,0.702980649046704
6928387581.66974,0.1368888,3.01076681281042e-06,88.5098193231829,0.690016187327137
6729766621.66529,0.1370108,3.06600797372861e-06,88.3973677573132,0.707081011206415
6928272213.67052,0.1371888,2.99868182047019e-06,88.5236072143367,0.696622171457156
6729806045.42268,0.1372108,2.97741400388947e-06,88.3354095920492,0.711069717077714
6728384315.68578,0.1374888,2.93863757900234e-06,88.5674878910875,0.702980649046704
6529893004.3298,0.1376108,2.91185198417941e-06,88.3945249631138,0.718709658234775
6728365573.42278,0.1376888,3.09800918124331e-06,88.5588901224576,0.707081011206415
6728278309.4494,0.1378888,3.07067161176219e-06,88.5408907922408,0.711069717077714
6529940456.54749,0.1380108,3.02721391578174e-06,88.3787385405495,0.725895646967303
6528320163.98003,0.1382888,2.91927815782886e-06,88.5067104075133,0.718709658234775
6528377944.0567,0.1386888,3.03689623801463e-06,88.5405017608951,0.725895646967303
6529899598.73792,0.1387108,2.92213089322682e-06,88.3188367621278,0.737365315538071
6528236428.33244,0.1393888,3.08396471097298e-06,88.5124173696258,0.737365315538071
7335987834.5295,0.1408291,2.09718647834838e-06,88.689814263369,0.703327286339104
7461761193.76766,0.1414404,1.94796096331586e-06,88.5732725169526,0.656454676940441
7410985824.63311,0.1438273,2.01596873733207e-06,88.7549261891939,0.629088105598974
7336751870.53688,0.1444386,1.94849123500383e-06,88.6101887218568,0.567033373573194
7361072597.53058,0.1448267,2.02241660155123e-06,88.7549903544275,0.59924178830323
7374707891.19679,0.145438,2.00550965100973e-06,88.599237493916,0.532589820868772
7436026652.12501,0.1468255,2.08616038660931e-06,88.7529694566283,0.532589820868772
7310987213.08697,0.1478249,2.04860878551399e-06,88.743277065814,0.49604690013969
