频率(Hz),到达时间(s),脉冲宽度(s),到达角度,幅度
6741450850.44863,0.1302215,3.00773256527115e-06,88.8133679041244,0.658873859688749
6689406387.78014,0.1302789,2.94540379094761e-06,88.6260911584288,0.581532462603451
6915548859.04197,0.1305999,3.0269252814487e-06,88.2215032128849,0.758695207060258
6922828161.73354,0.1306423,1.01544256456558e-06,88.7079492203222,0.691895118377035
6744462316.90442,0.1307245,2.04864184972071e-06,88.6054401758503,0.542548346033358
6814332381.74562,0.1308075,2.09979205146999e-06,88.7215112740106,0.64713272981082
6994604359.12944,0.1311351,1.94040188457629e-06,88.601793736959,0.556711809694717
6815207666.44846,0.1311967,1.92127814673417e-06,88.4853170820402,0.769272167271387
6915659336.70425,0.1312993,9.35206259379067e-07,88.2058953745451,0.760068857455869
6689309671.51851,0.1313321,5.04448807305153e-06,88.6754422700638,0.787920287505405
6887632427.30754,0.1317036,3.02991384073852e-06,88.9501376581507,0.728132586164579
6802427436.00212,0.1319227,1.94965277173478e-06,88.7026582265869,0.675640288920985
6915612446.91735,0.1319987,9.75072802041618e-07,88.2776616423644,0.766398765188827
6922752503.31749,0.1320411,1.09402541223913e-06,88.6713140092341,0.720238230993253
6744497947.10272,0.1321433,1.92449915181839e-06,88.5424195613977,0.589898560415117
6971543598.13325,0.1322775,3.00813039934381e-06,88.8364452475739,0.706412126067142
6965378399.00996,0.1323563,2.01288295193305e-06,88.6267395090806,0.685836191439722
6957604065.85671,0.1326736,3.08362249310929e-06,88.9348610670538,0.743280404349256
6915730569.04986,0.1326981,1.05657943513388e-06,88.2710807398511,0.771248897198887
13414864.0053916,0.1327395,2.00743649120879e-06,0.121614631605403,0.877108877188913
6821437072.30538,0.1327755,3.02034280916562e-06,88.8074740482682,0.71618169394895
6752392114.45247,0.1328539,2.05581758993081e-06,88.7016650633012,0.696909324812557
6706485665.18814,0.1332215,2.03689370420654e-06,88.6078269889178,0.622767727550734
6827369300.81533,0.1332925,2.07900832963348e-06,88.6754531608198,0.70610504821692
6915555312.61335,0.1333975,1.07299465685432e-06,88.2124001110371,0.774609888768976
6922845840.93423,0.1334399,9.266999528449e-07,88.6588188157906,0.74302143597152
6737553161.44481,0.1336146,2.91999026936429e-06,88.9007775317457,0.755338277684986
6861391081.48233,0.1336755,2.93832122647273e-06,88.7981635988309,0.732052902409944
6915735536.10921,0.1340969,1.06859484302281e-06,88.2699433164011,0.776475250439615
6922723332.47351,0.1341393,9.06439556000869e-07,88.7211953333993,0.752271395893127
6887488303.79867,0.1345846,3.08799383192868e-06,88.8789097585907,0.765004399620947
6889314258.02138,0.1346453,1.91915853028887e-06,88.7245102035154,0.731062155242483
6871393501.99034,0.1347485,3.02826782290632e-06,88.825403136885,0.747912837222614
6915652025.1564,0.1347963,1.01205076719071e-06,88.2762700071403,0.776841380538883
6740177536.41349,0.1349039,2.0199196491015e-06,88.5222352805031,0.773549757907246
6794423269.15311,0.1351419,1.96458390317788e-06,88.5941754952387,0.674146081416507
6915550798.5269,0.1354957,1.08057407184475e-06,88.2272061432389,0.775707572136578
6922751657.02823,0.1355381,1.0841427351763e-06,88.7125272872673,0.766398765188827
6764441765.7492,0.1355985,1.99449266767913e-06,88.6976830724353,0.745486343748978
3415178372.18157,0.1357417,2.93911634112068e-06,44.2985650938722,0.863036754506168
6815100469.52654,0.1359541,2.06314958492874e-06,88.5393503691454,0.767120740264361
6681488970.19173,0.1361561,1.96664804490153e-06,88.5976708555494,0.697366035589996
6915661899.6091,0.1361951,9.77914943370614e-07,88.1994532605454,0.773076014409177
6922836486.14175,0.1362375,1.05182406470204e-06,88.7156465973368,0.771248897198887
6990167072.35084,0.1363547,1.94823232613539e-06,88.5461456273007,0.763786652169003
6789392514.143,0.1365767,1.92369203996404e-06,88.6559868921964,0.75750911136975
6881514838.56589,0.1368245,2.92774787864219e-06,88.7850399227358,0.768900197048384
6915638901.77485,0.1368945,1.09652955941776e-06,88.2033815377351,0.768951788412934
6922807081.81735,0.1369369,1.04388393147147e-06,88.7042306725754,0.774609888768976
6714327270.54345,0.1370613,1.94936742944469e-06,88.6577218156438,0.762407979785813
6915544678.62526,0.1375939,9.77508865247233e-07,88.2500802333938,0.763342857273289
6867659140.74907,0.1376246,4.08601724163295e-06,88.8678545100994,0.776696785391304
6852241342.13978,0.1378325,1.90168819083406e-06,88.531304997496,0.747322184280704
6982470643.39923,0.1381705,1.96303110005543e-06,88.592377605214,0.735009485434075
6911548755.00898,0.1382795,2.92239988550631e-06,88.8564014997674,0.77583532944051
6915547063.29598,0.1382933,1.06525210456027e-06,88.2310027216808,0.756260050809533
6922735405.14131,0.1383357,1.04791727711414e-06,88.6653864066003,0.776841380538883
6877204451.79866,0.1384221,2.02007963202478e-06,88.4649631174948,0.738946692440047
6714269514.98714,0.1386331,2.07374076913267e-06,88.6883203883547,0.773414569165544
6940272497.02106,0.1388247,1.97347078028426e-06,88.5141030745314,0.732644257385498
6915545464.6881,0.1389927,1.03300898490725e-06,88.2363271375046,0.747717044624409
6922811591.72543,0.1390351,3.04363067448015e-06,88.7394366011774,0.775355620034881
6857510856.0514,0.1391546,2.98903286315872e-06,88.8921319782651,0.772023687271381
6990277168.99355,0.1394073,1.93966952643476e-06,88.4504890987062,0.72269514293916
6927333439.32393,0.1395363,2.04451965750713e-06,88.6931450624636,0.776333165235597
6915551728.55161,0.1396921,9.45631431282811e-07,88.2912379900918,0.737730333699025
6806587422.36541,0.1397093,4.99325271755357e-06,88.6066901127538,0.764003440989611
6922828436.38087,0.1397345,9.01062242683854e-07,88.6948754220216,0.773076014409177
6761533099.27695,0.1398085,4.92235183673956e-06,88.8204388014634,0.755819275530872
7113435672.96835,0.1402174,2.05260671886469e-06,88.8625263626827,0.776508545431121
7110215981.74497,0.1403224,2.03699800302737e-06,88.5691364294462,0.773438512081908
7291554433.13652,0.1403975,2.93038431345809e-06,88.8264701790993,0.774346299700112
7122766765.28438,0.1404525,2.01832937013179e-06,88.6031723942944,0.775360256616019
7117551700.14683,0.1405626,2.96114761922337e-06,88.8666064720952,0.761333543438056
7113419118.2333,0.1407174,1.99632995275674e-06,88.8258218688667,0.776890514060895
7110303078.71612,0.1408224,1.96566458574924e-06,88.5369978201277,0.770758994156466
7122778025.24696,0.1409525,1.90940687083428e-06,88.6899202344353,0.776508545431121
7113342553.06628,0.1412174,1.94373689668231e-06,88.7865043570549,0.77650578554842
7110241370.60964,0.1413224,1.94940214365209e-06,88.5968914363764,0.767318830158653
7122834230.45881,0.1414525,2.06330380483194e-06,88.6283046038882,0.776890514060895
7003153920.74947,0.1415863,5.08509637154005e-06,88.5064889659949,0.723882002737154
7113387351.25412,0.1417174,1.96822195656026e-06,88.8117280921608,0.775354739574288
7151523081.89603,0.1417475,2.95832639559064e-06,88.8328274731736,0.766239867003787
7110312644.53506,0.1418224,1.96334665317234e-06,88.5709082000038,0.763121415114999
7122801193.5071,0.1419525,1.90467209788833e-06,88.6297080475914,0.77650578554842
7028117371.70419,0.1420909,1.93802591964055e-06,88.4513960607834,0.664604442380557
7077615254.97207,0.1421736,2.96019473541733e-06,88.9011885070183,0.741804905274354
7113447006.42113,0.1422174,1.97100043670089e-06,88.8035438201644,0.773438512081908
7131546720.05745,0.1422765,3.0415343598401e-06,88.7929875086615,0.761556301128954
7110255790.51689,0.1423224,1.99117639877965e-06,88.5472556503381,0.758170891367391
7122854017.7512,0.1424525,1.95075027093183e-06,88.6419658496179,0.775354739574288
7113351959.282,0.1427174,2.03143640579954e-06,88.7760949313545,0.770758994156466
7110337454.71807,0.1428224,5.05407509637139e-06,88.5157324538154,0.754391557705167
