频率(Hz),到达时间(s),脉冲宽度(s),到达角度,幅度
6429493534.09154,0.1219338,3.04632043031047e-06,88.6369213183052,0.395528268078514
6417071483.60217,0.1220847,2.96793861080888e-06,88.4948157569108,0.416336453332124
6429558020.92782,0.1224338,2.93569913442334e-06,88.6345717965704,0.416336453332124
6417004540.12095,0.1225847,2.91482495062905e-06,88.4989849044765,0.436733764771203
6418958694.98859,0.1233903,3.00373296879496e-06,88.7437099040954,0.381749814575857
6422890713.22692,0.1238966,3.07827980228786e-06,88.5457944266625,0.368541924371988
6418966073.89651,0.1244103,3.07418661938912e-06,88.7509574122078,0.424300507338475
6422791255.31512,0.1250046,2.99129615388348e-06,88.551128989924,0.415223123324054
6419132874.37747,0.1254563,3.09531955579181e-06,88.7352111754127,0.466125005501505
6422973831.73803,0.1259596,3.07835554982366e-06,88.5440118249906,0.453852244056333
6416956507.56636,0.1260847,3.05875792796902e-06,88.4770282319778,0.566375591127009
6429553157.36723,0.1264338,3.06898565749118e-06,88.6344417169389,0.566375591127009
6417101167.41954,0.1265847,2.92797302021982e-06,88.4794750805399,0.582799366003216
6417006790.99337,0.1270847,3.01490951404937e-06,88.494142321253,0.598647988267398
6429522797.19646,0.1274338,3.06193862145172e-06,88.6571257763293,0.598647988267398
6926745729.24903,0.1300431,3.05028442033198e-06,88.238635689971,0.702980649046704
6716974690.36709,0.1300847,3.06162443094091e-06,88.5018972873987,0.680827267547667
6922716990.22718,0.1302274,5.07347487564545e-06,88.8410226834154,0.646605680710034
115503.562892768,0.1302431,3.07782647075503e-06,-0.0152202150528172,0.723167427985629
6824976042.03969,0.1303443,1.96362716679576e-06,176.53058565742,0.542142919588674
6729470005.1537,0.1304338,5.90784574768982e-06,88.6362463885636,0.695692798102706
6914839034.06774,0.1304657,3.02403315215888e-06,88.9248539302652,0.702980649046704
6922825434.45516,0.1306274,3.03813693598721e-06,88.862292175598,0.741845504239787
6914985812.43994,0.1306657,2.93287411515886e-06,88.9440826438446,0.707081011206416
6711947207.1685,0.1307712,2.09127209085172e-06,88.7600613886809,0.735608195026282
6914915884.29699,0.1308657,5.0270362662102e-06,88.9511229687592,0.719766312001611
6914305797.13572,0.1309876,2.92548073227383e-06,88.8100827638796,0.769470667381449
6922736946.4503,0.1310274,2.97402743207742e-06,88.8245551226591,0.747408823256417
6926709713.31746,0.1311431,3.02240030286652e-06,88.2245297282878,0.724141960968628
6914393562.34848,0.1311876,3.06102694176826e-06,88.8188951979633,0.768063893601326
6914330673.08404,0.1313876,3.00883988849746e-06,88.8207220667484,0.766535833628725
6521888935.55658,0.131509,1.95400706255946e-06,88.6425833690893,0.658301634334521
6914960984.8103,0.1315657,3.01287517479972e-06,88.9327291079344,0.724141960968628
6926665282.83004,0.1318431,3.09308168092545e-06,88.2159501877341,0.735813619702408
6922725679.19148,0.1320274,3.03192239936028e-06,88.8498918029182,0.759244820895257
6916955934.67714,0.1320847,5.97412828255347e-06,88.4620887477976,0.743007708114005
6723470141.00036,0.1321295,2.0101195545573e-06,88.9152867734975,0.538650014272345
6524995034.50359,0.1321435,2.00074786331265e-06,176.544512835183,0.601453892405795
6823493063.88474,0.1322291,2.06951366365064e-06,88.906178522506,0.542142919588674
-34250.6073859496,0.1322431,3.00791596458991e-06,0.0156817390462394,0.729113991184249
6914825657.92755,0.1322657,2.95888519694873e-06,88.9511034682845,0.735813619702408
6929409044.38381,0.1324338,3.01137499191086e-06,88.639554345503,0.722359687085264
6721895797.1877,0.1325086,2.01453811069652e-06,88.6378746118599,0.682897570871496
6917051588.18075,0.1325847,3.03524060939104e-06,88.4822608440804,0.730984490989345
6926741255.68682,0.1326431,3.01864490719219e-06,88.2213396333508,0.747408823256417
6914965518.9957,0.1326657,4.90155274081847e-06,88.924489662489,0.747937600320968
6711931178.62534,0.1327696,2.04999013636764e-06,88.7490437924177,0.761110175408766
