频率(Hz),到达时间(s),脉冲宽度(s),到达角度,幅度
6310312061.81969,0.1213419,2.97055127652068e-06,88.7144377344007,0.280010017307789
6312178439.69484,0.1231128,3.02802656907708e-06,88.7776911693688,0.639168216528419
6319392443.7009,0.1240449,3.01788472425011e-06,88.5836365002248,0.259963206196936
6310302680.90377,0.1247279,2.94517209607134e-06,88.7835308483524,0.426710117444458
6312143783.63045,0.1261608,3.0757827289685e-06,88.7380414167613,0.711540828383899
6319244590.54177,0.1270339,2.94325824935167e-06,88.5340435002405,0.392077916804393
6310276677.60497,0.1277929,2.90039140383203e-06,88.7583400586701,0.543075667065953
6312193510.53173,0.1291498,2.98217058806275e-06,88.7021877860098,0.757258016918644
6517298082.56933,0.1300168,9.86276658763689e-07,88.5406155223214,0.754489844385919
6529152259.37735,0.1301703,9.20944255436211e-07,88.8718750685413,0.77405167408051
6529260363.57416,0.1302697,1.09072324864511e-06,88.8129213269464,0.773622166256186
6517303828.66223,0.1304162,1.04545021224059e-06,88.6394881382162,0.758899729131082
6517284699.80784,0.1305156,9.95492426666263e-07,88.6547806741451,0.759923064808331
6529181400.22469,0.1309691,1.04854514878008e-06,88.7678128585959,0.769748018859835
6517300937.52098,0.131215,1.08085313065733e-06,88.5545015892519,0.766283321110555
6712138613.84077,0.1312528,2.9774188013615e-06,88.7453588027443,0.773522116150952
6529157993.24273,0.1313685,1.06263722250107e-06,88.7607671796435,0.766868339242483
6529241785.47005,0.1314679,1.02246789488159e-06,88.8025573642657,0.766076538369909
6517309412.71078,0.1316144,9.26413485436054e-07,88.5738201876302,0.769252378689594
6517191779.33032,0.1317138,1.00509029532434e-06,88.5296478870582,0.769916082398482
6529269433.25972,0.1321673,9.86583760155601e-07,88.8340486050473,0.759662341927511
6719274029.19964,0.1322949,3.09674474309898e-06,88.5239526004772,0.588540094061234
6517224554.92023,0.1324132,1.02862803348999e-06,88.5539454776446,0.773735669708892
6529139549.45327,0.1325667,9.18481660017907e-07,88.7728057697087,0.755340562048815
6529082709.0469,0.1326661,1.02965600512588e-06,88.7347247137747,0.754190953817479
6517206628.71925,0.1328126,1.01758398740861e-06,88.5432375135366,0.775247079894862
