频率(Hz),到达时间(s),脉冲宽度(s),到达角度,幅度
7313279620.76239,0.140084,1.90475104487092e-06,88.4861469750297,0.61178479610642
7312342741.34215,0.1402583,2.96416705201218e-06,88.5807354124316,0.757801649487315
7314013515.20118,0.140303,1.96547082793127e-06,88.6361714116541,0.7752940229725
7326214798.83012,0.1403328,3.03582760898332e-06,88.9642971768786,0.734427279740369
7317035207.05572,0.1403632,3.01111103983865e-06,88.4103861654968,0.769321866239483
7313377525.87336,0.1404834,1.9717930732195e-06,88.4049161445618,0.59957716749331
7319072277.12188,0.1405521,2.93007693443184e-06,88.6458184895521,0.775410366743
7325130661.05554,0.1407201,1.97105473702656e-06,88.5357947767354,0.629088105598974
7326322910.12712,0.1407968,3.07725204779805e-06,88.979201413786,0.726730692611675
7312423837.7418,0.1408563,8.08148530487668e-06,88.6509222755724,0.759510214640399
7319088872.73233,0.1409731,2.95517351764542e-06,88.6447828567562,0.776406900878329
7314119576.92483,0.1412024,1.93108180675652e-06,88.6422049004151,0.776868025798015
7326226125.95812,0.1412638,2.94173903614112e-06,88.9400246324672,0.718360710864845
7313349030.12515,0.1413828,5.05605375631442e-06,88.4536668547349,0.68350953937172
7312430304.92821,0.1414473,3.04591110387984e-06,88.6567145693044,0.742913006562713
7325060473.24193,0.1417195,2.00024106754673e-06,88.5765384540023,0.59924178830323
7319058151.99743,0.1418101,9.0415746714011e-06,88.5565375760882,0.747210071527113
7312443737.37492,0.1418713,4.9973838833716e-06,88.6663243569621,0.751389693087371
7413303272.36871,0.1420822,2.06241494845378e-06,88.4971477121459,0.547009765133414
7326239242.89723,0.1422938,4.9496436205105e-06,88.8986476695899,0.731443259511189
7319073283.07803,0.1423861,3.03686949795358e-06,88.5635954894678,0.775779158480544
7317036904.6669,0.1424002,2.96256532021818e-06,88.361203679096,0.749221391478453
7312508997.33987,0.1424173,3.04511548408655e-06,88.5893224766261,0.727692498968387
7413321581.72854,0.1424816,1.91861743646365e-06,88.4451512691665,0.532994816220436
7325169231.84084,0.1427189,2.04329274367265e-06,88.5638019795271,0.567033373573194
7326253037.26886,0.1427768,3.07370914013561e-06,88.9690326136208,0.687036303523981
7319039290.37393,0.1428111,5.957173359359e-06,88.6357330089658,0.747956079834561
7317128186.26777,0.1428592,3.09767060454588e-06,88.3775216361945,0.742984360225143
7313527778.40308,0.1428748,2.0576555013542e-06,88.6763006786463,0.775316463587836
7413969000.01207,0.1432006,2.09273154218527e-06,88.7134414913134,0.771493409768352
7312328895.10602,0.1432443,3.09755089476322e-06,88.6861168697043,0.712579355128797
7326227898.59478,0.1432758,3.0250766746128e-06,88.8875371610802,0.675329231091672
7319046257.7016,0.1433381,3.05456344188881e-06,88.641861449917,0.771908454517005
7413448206.16452,0.143381,1.96885168146451e-06,88.4079195468326,0.500219766750122
7317052648.66219,0.1434492,2.95899643002592e-06,88.4428261495889,0.734060419372591
7312372257.65282,0.1436703,2.95130306383761e-06,88.6391584217086,0.704040939470484
7325067150.58622,0.1437183,5.00796862719813e-06,88.523260213273,0.604644884695798
7319150738.53039,0.1437621,3.02576160451442e-06,88.6260853351222,0.769294653545675
7313543975.16556,0.1438742,1.91209968402128e-06,88.6222012122381,0.776890218796894
7113972740.67435,0.1439,1.96178725378703e-06,88.7433960318503,0.766732679532991
7317009226.68316,0.1440332,3.00603434077204e-06,88.3850273313351,0.72423385787789
7113318056.72681,0.1440804,1.93275409902468e-06,88.4096082420831,0.473623564022749
