频率(Hz),到达时间(s),脉冲宽度(s),到达角度,幅度
6316725564.22386,0.1224717,2.91284919314842e-06,88.5838903627824,0.226168617175602
6316689344.17986,0.1231717,2.96233878707963e-06,88.5751594407908,0.25862878914001
6424049323.44364,0.1237389,2.99930369789122e-06,88.7748215107539,0.136041037846879
6416698093.60486,0.1250717,2.98752487688963e-06,88.5729958970448,0.344035944089342
6416789124.778,0.1253717,2.92131450997364e-06,88.5938003219687,0.357103927309278
6324001556.58423,0.1256389,2.93029221814696e-06,88.7612991207003,0.226168617175602
6324005293.85084,0.1263389,3.06257645898549e-06,88.7689432803909,0.25862878914001
6316783735.83282,0.1272717,3.02762542831298e-06,88.585375758707,0.436733764771203
6424184881.44344,0.1282389,2.93860825141566e-06,88.78409448153,0.344035944089342
6424132773.2078,0.1285389,2.94302824051758e-06,88.7891306712356,0.357103927309278
6824975669.74363,0.1300097,1.96719812771432e-06,88.7866090813736,0.776530267099759
6924045986.14838,0.1301389,2.9919631980888e-06,88.7703066935399,0.424545819326111
6621033572.4063,0.1302598,2.08991876891721e-06,88.4789480751982,0.776829726104627
6921119113.04678,0.1306598,1.9891571970711e-06,88.4682558541766,0.776828621998992
6720064945.34818,0.1308713,1.92799359344805e-06,88.659721501251,0.776738453471415
6616276658.80159,0.1309667,2.02934813027358e-06,88.7107822433421,0.707070899814604
6629698074.47287,0.1310591,1.90525855859596e-06,88.8510598730395,0.759239648816781
6916627141.17836,0.1310717,3.03760352160832e-06,88.5951871127537,0.5762979792473
6524966489.00836,0.1311089,1.99224963292322e-06,88.8089196620908,0.773046486904994
6916196446.25071,0.1311667,2.04637665089515e-06,88.7214869245226,0.711059885622501
6618836202.00245,0.1316177,1.91423212906064e-06,88.8098970994554,0.769474032746875
6820157027.69956,0.1316709,1.90775861034046e-06,88.6529558386915,0.776530267099759
6918823120.17787,0.1318177,1.94040255885271e-06,88.8192445738864,0.768067562467488
6724945570.15298,0.1319085,1.9011608741926e-06,88.8034842882414,0.768194745846396
6916786773.38835,0.1319717,3.02019762329739e-06,88.6079780559674,0.604822871502404
6824898128.79526,0.1320081,1.93291627408989e-06,88.8053851401106,0.767454321679946
6929587183.38722,0.1320591,1.91682216784145e-06,88.8810916578856,0.768080761925791
6629694953.46296,0.1324591,2.01465463364595e-06,88.8794527214572,0.770770006466686
6616121262.7056,0.1325667,2.01094330968651e-06,88.7013973341874,0.735805788767909
6621134736.15728,0.1326598,1.929249506831e-06,88.4549921301629,0.769474032746875
6618843900.57898,0.1327177,1.92366478040956e-06,88.8288774205868,0.760241177830016
6520059130.94906,0.1327701,1.91919205710095e-06,88.6685019246598,0.773046486904994
6921048442.60861,0.1328598,2.05040807069056e-06,88.4695097393036,0.768067562467488
6916129839.51086,0.1329667,2.03325414632013e-06,88.7292551455572,0.741838256694223
6929640136.23424,0.1331591,2.07228166817613e-06,88.8577976797463,0.77430388962617
6918831820.2394,0.1334177,1.99301309999611e-06,88.8207632400724,0.752472144485084
6720047365.88226,0.1335697,2.05374035534961e-06,88.6753186503558,0.768194745846396
6819979756.94497,0.1336693,2.02330127108318e-06,88.6613853278438,0.767454321679946
6621162190.71447,0.1337598,1.95349283074436e-06,88.4793382833822,0.760241177830016
6524930788.02718,0.1338073,1.95856981192731e-06,88.7931648615284,0.748937925048552
6725001074.58914,0.1339069,1.91698506990821e-06,88.8098687073297,0.74763084984688
