频率(Hz),到达时间(s),脉冲宽度(s),到达角度,幅度
6973857042.49155,0.1301089,3.0627352502675e-06,88.7690628898479,0.76314245026443
6762673582.52875,0.1302879,3.04107281591995e-06,88.7167890966715,0.771369213670338
6740962954.60825,0.1306089,2.99815597275832e-06,88.8206548605175,0.767336390862043
6705056511.60914,0.1308253,1.92555094049678e-06,88.4842125732889,0.699745568844346
6901127422.33012,0.130907,2.09127677482528e-06,88.786027418052,0.534307389932485
6954842141.15326,0.1311879,2.97746480144571e-06,88.707247568808,0.775361786755338
6840903855.1754,0.1312089,3.0303959543318e-06,88.8134382820506,0.771369213670338
6661925345.57774,0.1313089,3.07712524919879e-06,88.8270541839656,0.771934911921395
6895569041.27397,0.131337,3.08784392245086e-06,88.3827795962643,0.776509309689418
6913167837.22858,0.1314426,2.0902211702535e-06,88.7915420362451,0.55298078665875
6695120348.08182,0.1314897,1.94669129637644e-06,88.6213597865126,0.710092945300815
6787805131.19176,0.1316879,3.01715723042242e-06,88.667728045002,0.776509309689418
6691964545.66404,0.1319065,2.08561113559024e-06,88.4509511366872,0.721042433777539
6948084084.7195,0.1319324,6.08774253583172e-06,88.9119504932095,0.773444289470419
6726069891.44206,0.1319882,1.92671251577423e-06,88.8109413754845,0.571358854088558
6970116936.04158,0.1320123,1.94943833611737e-06,88.6170396501974,0.720056935336134
6986019910.67003,0.1320324,5.95907607196222e-06,88.9319544654834,0.773086966076893
6873936890.11795,0.1321089,2.99761307562674e-06,88.8031290065169,0.775361786755338
6737667281.1739,0.1322879,2.90290745151563e-06,88.7198517750846,0.776874747147474
6646773837.38678,0.1323879,2.94558883517766e-06,88.6678099979812,0.776828312926215
6797689464.03321,0.132465,3.02401908677691e-06,88.7079945645801,0.733092322795108
6926061367.91882,0.1325388,1.9527627144745e-06,88.7959500939139,0.589224629794505
6706877191.29758,0.1326089,2.98805369965947e-06,88.798600677046,0.776509309689418
6611061920.60215,0.1328324,3.04635453009612e-06,88.9244310564838,0.763116839414011
6995073925.88494,0.1330285,2.99234135169923e-06,88.66878283289,0.740350450375386
6633829781.40242,0.1331879,3.08662444958565e-06,88.6754665567701,0.775353204690436
6957982803.38493,0.1332089,2.92695829321508e-06,88.8261566497545,0.776874747147474
6886897518.59555,0.1333089,2.98338874331131e-06,88.8296303452639,0.776828312926215
6590077555.45185,0.1333324,5.91783660345204e-06,88.9347843462657,0.765671205724195
6997571255.3515,0.1335532,1.90911598799284e-06,88.676924643555,0.750657702311903
6967775686.45742,0.1336879,2.94942978865453e-06,88.7225208730237,0.773436212838813
105640410.040866,0.1339317,5.93377364957709e-06,1.36713596844532,0.79333568821796
6929911964.35268,0.1340289,7.92592545250528e-06,88.4998402111166,0.758180453634641
6819813342.48435,0.1341089,2.97045859100234e-06,88.7920209041973,0.775353204690436
6988684335.67112,0.1342879,3.04174519369923e-06,88.7164209330179,0.770128501779616
6875762472.07665,0.1343879,3.06510992707824e-06,88.7043722330116,0.769470667381448
